post_id,user_id,area,risk_tag,content
p001,91,운영,NORMAL,공지사항이 여기저기 흩어져 있어서 뭐가 최신인지 모르겠어요.
p002,24,운영,NORMAL,운영진에게 질문을 남겼는데 며칠째 답이 없어요. 이게 정상인가요?
p003,13,운영,NORMAL,일정이 자주 바뀌어서 개인 스케줄 관리가 너무 힘들어요.
p004,45,운영,NORMAL,운영진이 학생들 상황을 전혀 파악하지 못하는 것 같아요.
p005,41,운영,NORMAL,피드백 요청을 해도 형식적인 답변만 돌아오는 느낌이에요.
p006,38,운영,NORMAL,공지 톤이 너무 명령조라서 점점 스트레스가 쌓여요.
p007,27,운영,RISK,운영 방식이 너무 불합리하다고 느껴져서 계속 다녀야 하나 고민돼요.
p008,23,운영,RISK,운영진이 문제 제기하는 학생을 귀찮아하는 것 같아요.
p009,96,운영,RISK,질문하면 눈치 보이게 만드는 분위기라서 아예 말을 못 하겠어요.
p010,79,운영,RISK,운영진 대응 때문에 이 캠프에 대한 신뢰가 완전히 깨졌어요.
p011,21,운영,RISK,이렇게 관리할 거면 왜 이렇게 비싼 돈을 받는 건지 모르겠어요.
p012,85,운영,RISK,운영진 태도 때문에 요즘 계속 화가 나고 수업에 집중이 안 돼요.
p013,64,운영,RISK,계속 무시당하는 느낌이라 여기서 버티는 게 의미가 있는지 모르겠어요.
p014,14,운영,RISK,운영 때문에 멘탈이 나가서 아침에 일어나기도 싫어요.
p015,13,운영,NORMAL,공지 전달 방식만 조금 정리돼도 훨씬 나아질 것 같아요.
p016,21,운영,NORMAL,운영진이 주간 요약 같은 걸 해주면 좋겠어요.
p017,37,운영,NORMAL,질문 채널이 너무 많아서 어디에 써야 할지 헷갈려요.
p018,39,운영,NORMAL,운영 정책을 초반에 명확히 설명해주면 좋겠어요.
p019,74,운영,NORMAL,운영진과 소통할 수 있는 공식 창구가 있었으면 좋겠어요.
p020,87,운영,NORMAL,운영 일정 캘린더를 통합해서 보고 싶어요.
p021,13,커리큘럼,NORMAL,진도가 너무 빨라서 따라가기가 벅차요.
p022,81,커리큘럼,NORMAL,이론 설명 없이 과제부터 나와서 당황스러워요.
p023,35,커리큘럼,NORMAL,커리큘럼이 전체적으로 정리가 안 된 느낌이에요.
p024,93,커리큘럼,NORMAL,이전 내용 이해가 안 된 상태에서 다음 단계로 넘어가요.
p025,99,커리큘럼,NORMAL,실무랑 얼마나 연결되는지 잘 모르겠어요.
p026,79,커리큘럼,RISK,커리큘럼이 저랑 너무 안 맞아서 계속 자신감이 떨어져요.
p027,63,커리큘럼,RISK,아무리 노력해도 이해가 안 돼서 내가 바보인가 싶어요.
p028,38,커리큘럼,RISK,다들 잘하는 것 같은데 저만 계속 뒤처지는 느낌이에요.
p029,67,커리큘럼,RISK,이 커리큘럼을 끝까지 따라갈 수 있을지 모르겠어요.
p030,85,커리큘럼,RISK,수업만 들어도 숨이 막히고 도망가고 싶어요.
p031,45,커리큘럼,RISK,커리큘럼 때문에 매일 자책하게 돼요.
p032,10,커리큘럼,RISK,진도를 볼 때마다 포기하고 싶은 생각이 들어요.
p033,30,커리큘럼,NORMAL,난이도별 보조 자료가 있으면 좋겠어요.
p034,99,커리큘럼,NORMAL,복습용 정리 자료가 부족한 것 같아요.
p035,64,커리큘럼,NORMAL,단계별 목표를 명확히 제시해주면 좋겠어요.
p036,53,커리큘럼,NORMAL,선택 학습 루트가 있었으면 좋겠어요.
p037,45,커리큘럼,NORMAL,커리큘럼 예제 코드 설명이 더 자세했으면 해요.
p038,29,커리큘럼,NORMAL,주차별 핵심만 요약된 자료가 있으면 좋겠어요.
p039,37,커리큘럼,NORMAL,중간 점검 시간이 있었으면 좋겠어요.
p040,53,커리큘럼,NORMAL,실습 비중을 조금 더 늘려줬으면 해요.
p041,23,프로젝트,NORMAL,프로젝트 요구사항이 너무 추상적이에요.
p042,21,프로젝트,NORMAL,프로젝트 범위가 계속 바뀌는 것 같아요.
p043,58,프로젝트,NORMAL,기획을 어디까지 해야 하는지 헷갈려요.
